State	Airport ID	Airport / Location	Last Reported	Vehicle Description
Alabama	KEET	Alabaster - Shelby County Airport	8/2025	Courtesy car available
Alabama	8A0	Albertville Regional - Thomas J Brumlik Field	8/2024	Courtesy car available
Alabama	KALX	Alexander City - Thomas C Russell Field	8/2024	Nice car available
Alabama	79J	Andalusia - South Alabama Regional at Bill Benton Field	8/2024	Car available; overnight use permitted
Alabama	KAUO	Auburn University Regional Airport	8/2024	Old Dodge minivan, 2-hour limit
Alabama	1R8	Bay Minette Municipal - Baldwin Aviation	8/2025	Courtesy car available
Alabama	KEKY	Bessemer Airport	8/2025	2010 Dodge Charger and 2005 Jeep Liberty
Alabama	KBHM	Birmingham-Shuttlesworth International - Atlantic Aviation	8/2024	Two Nissan sedans; $40 facility fee waived with fuel
Alabama	12J	Brewton Municipal	8/2024	2 cars owned by manager
Alabama	02A	Clanton-Chilton Co. - B&G Flying Service	8/2025	Courtesy car available
Alabama	KCMD	Cullman Regional - Folsom Field	8/2025	3 crew cars available
Alabama	KDCU	Decatur - Pryor Field Regional	8/2025	Courtesy car; buy fuel; 1â1.5 hr limit
Alabama	KDYA	Demopolis	8/2025	Car available
Alabama	KDHN	Dothan Regional - Aero-One Aviation	8/2025	Two Kia Sedona minivans and a Kia Cadenza sedan
Alabama	KEDN	Enterprise Municipal	8/2025	Courtesy car available
Alabama	KGZH	Evergreen - Middleton Field	4/2025	Car available
Alabama	KCQF	Fairhope - Callahan Airport	8/2024	Courtesy car available
Alabama	M95	Fayette - Richard Arthur Field	4/2025	2011 Subaru; no charge; accessible anytime
Alabama	4A9	Fort Payne - Isbell Field	4/2025	Old police car; several cars available
Alabama	KGAD	Gadsden - Northeast Alabama Regional	8/2024	Car available
Alabama	KPRN	Greenville - Crenshaw Memorial	8/2025	Free courtesy car; keys in FBO
Alabama	KJKA	Gulf Shores - Edwards Airport / Gulf Air Center	8/2025	3 cars; $15 facility fee
Alabama	8A1	Guntersville Municipal - Joe Starnes Field	4/2025	Free courtesy car; first come first served
Alabama	KHAB	Hamilton - Marion County / Rankin Fite Airport	8/2024	Courtesy car available
Alabama	KMDQ	Huntsville - Madison Co. Exec. Tom Sharp Jr Field	8/2025	Car at Executive Flight Center
Alabama	KHSV	Huntsville Intl - Carl T Jones Field / Signature	8/2025	Cars available
Alabama	KJFX	Jasper - Walker County at Sanders Aviation	8/2025	Courtesy car available
Alabama	KMOB	Mobile Regional - Signature	8/2025	Courtesy transportation
Alabama	KMGM	Montgomery Regional - Montgomery Aviation	8/2025	3 passenger vans; also Avis on site
Alabama	KMSL	Muscle Shoals - Northwest Alabama Regional / Shoals Flight Center	8/2025	Courtesy car available
Alabama	KPLR	Pell City - Saint Clair County Airport	4/2024	3 cars available; wonderful staff
Alabama	1A9	Prattville - Cloud 9 Aviation	8/2024	2 cars; if after hours call ahead for keys
Alabama	4A6	Scottsboro Municipal - Word Field	4/2025	Toyota 4Runner and Ford Expedition
Alabama	KTCL	Tuscaloosa Regional - Bama Dixie FBO	8/2025	Cars available
Alaska	PASC	Deadhorse - Colville Inc.	8/2024	Courtesy transportation available
Alaska	PAHO	Homer Airport - Kachemak Jet	8/2024	Courtesy car available
Arizona	E95	Benson Municipal	4/2025	Multiple cars available; call ahead
Arizona	P04	Bisbee Municipal	n/a	Keys in safe; call Eric or Cheryl Swisher
Arizona	KIFP	Bullhead City - Laughlin/Bullhead International / Mohave County FBO	5/2025	Car available; first come first served
Arizona	A20	Bullhead City / Ft. Mohave - Sun Valley Airport	4/2025	Two cars available
Arizona	KCHD	Chandler Municipal Airport	8/2024	Car available; no ramp fees
Arizona	KAZC	Colorado City Municipal	8/2024	Chrysler sedan
Arizona	KFLG	Flagstaff - Wiseman Aviation	4/2025	One car; best to call ahead
Arizona	E67	Kearny	8/2024	Van available
Arizona	KIGM	Kingman - Arizona Aviation	8/2024	2 cars; call ahead; no overnight use
Arizona	KHII	Lake Havasu City - Havasu Air	8/2024	Courtesy car available
Arizona	KPGA	Page Muni - Classic/MillionAir/American Aviation	8/2024	Cars at multiple FBOs
Arizona	KPAN	Payson	3/2026	3 cars; 6hr/25mi limit; reservations accepted
Arizona	KDVT	Phoenix - Deer Valley / Cutter	8/2024	Nice car; 2-hour use
Arizona	KIWA	Phoenix Mesa Gateway	8/2024	Car available; $20 ramp fee waived with 10 gal fuel
Arizona	KPHX	Phoenix Sky Harbor - Cutter / Jackson Jet	8/2024	Two late model cars at Cutter; no charge
Arizona	KGYR	Phoenix - Goodyear / Lux Air	8/2024	Courtesy car available
Arizona	KGEU	Phoenix Glendale - Glendale Aero	8/2024	Courtesy car available
Arizona	KFFZ	Phoenix Mesa - Falcon Field / AvFlight	8/2024	Courtesy transportation
Arizona	KSDL	Phoenix - Scottsdale / Signature & Jet Aviation	8/2024	Cars available at multiple FBOs
Arizona	KPRC	Prescott Municipal - Cutter	8/2024	Courtesy car available
Arizona	KSAD	Safford Regional - Ponderosa Aviation	8/2024	3 cars available
Arizona	KSOW	Show Low Regional	8/2024	City-provided courtesy car
Arizona	KJTC	Springerville Municipal	8/2024	Crown Vics; call ahead for key location
Arizona	KSJN	St Johns Industrial Airpark	8/2024	Courtesy transportation
Arizona	P29	Tombstone	8/2024	Courtesy car via Roy
Arizona	KTUS	Tucson International - Million Air / Tucson Jet / Atlantic	8/2024	Cars at multiple FBOs; 3-hour limit
Arizona	P33	Willcox - Cochise County Airport	5/2025	3 cars available
Arizona	KCMR	Williams - H A Clark Memorial / NAZ Aviation	8/2024	Call ahead to reserve; lockbox in terminal
Arizona	KINW	Winslow - Lindbergh Regional / Wiseman Aviation	4/2025	Courtesy car available
Arkansas	KADF	Arkadelphia - Dexter B Florence Memorial Field	8/2024	2 Impalas in coded lockbox
Arkansas	KCVK	Ash Flat - Sharp County Regional	7/2025	Courtesy car available
Arkansas	KSUZ	Benton - Saline County Regional	8/2024	Courtesy car available
Arkansas	KVBT	Bentonville Municipal - Louise M Thaden Field	3/2025	Chrysler van; 2-hour limit
Arkansas	4M1	Berryville - Carroll County Airport	4/2025	3 cars including two Caddies
Arkansas	4M2	Booneville Municipal	7/2025	Crown Vic available
Arkansas	KCDH	Camden - Harrell Field	8/2024	Toyota Camry and Ford Explorer
Arkansas	4M3	Carlisle Municipal	7/2025	Courtesy transportation
Arkansas	H35	Clarksville Municipal	8/2024	Courtesy car available
Arkansas	KCXW	Conway - Cantrell Field	7/2025	3 cars available
