
OG:IMAGE SCAN RESULTS
=====================
Scanned: 2026-03-21T18:53:14.348Z
Total events: 139

EVENT NAME                                    | EVENT LINK                                                   | OG:IMAGE
----------------------------------------------+--------------------------------------------------------------+---------------------------------------------------------------------------------
Sun 'n Fun Aerospace Expo 2026                | https://www.flysnf.org                                       | https://flysnf.org/wp-content/uploads/F-22Raptor_480px_2026.webp
EAA AirVenture Oshkosh 2026                   | https://www.eaa.org/airventure                               | http://www.eaa.org/-/media/Images/Logos/EAA-Logos/AirVenture-Logos/AirVenture-2026/JPG/AV26_4cLogo_cmyk.jpg
Arlington Fly-In 2026                         | https://www.arlingtonflyin.org                               | NONE
National Stearman Fly-In 2026                 | https://www.nationalstearmanflyin.com                        | NONE
AAA/APM Antique Airplane Fly-In 2026          | https://www.antiqueairfield.com                              | https://antiqueairfield.com/wp-content/uploads/2023/08/AntiqueAirfield-SocialSharing-scaled.jpg
AOPA Homecoming Fly-In 2026                   | https://www.aopa.org/community/events/aopa-fly-in            | https://www.aopa.org/-/media/Images/AOPA-Main/Community/0429_Camarillo_FlyIn_3714.jpg
AOPA Fly-In — Carolinas 2026                  | https://www.aopa.org/community/events/aopa-fly-in            | https://www.aopa.org/-/media/Images/AOPA-Main/Community/0429_Camarillo_FlyIn_3714.jpg
Wings Over Houston Airshow 2026               | https://www.wingsoverhouston.com                             | NONE
California Capital Airshow 2026               | https://www.californiacapitalairshow.com                     | NONE
Thunder Over Louisville 2026                  | https://www.thunderoverlouisville.org                        | //kdf.org/wp-content/uploads/2013/11/KDF-logo.png
Watsonville Fly-In & Air Show 2026            | https://www.watsonvilleflyin.org                             | NONE
Copperstate Fly-In 2026                       | https://copperstateflyinaz.com                               | NONE
Zenith Aircraft Open Hangar Days 2026         | https://www.zenithair.com/open-hangar-days                   | NONE
Iowa EAA State Fly-In 2026                    | https://www.eaa.org                                          | http://www.eaa.org/-/media/Images/Logos/EAA-Logos/eaa-blue-240x240.jpg
EAA Chapter 186 Spring Pancake Breakfast      | https://www.eaa.org/eaa/chapters                             | NONE
EAA Chapter 145 Young Eagles Pancake Breakfa… | https://www.eaa.org/eaa/chapters                             | NONE
EAA Chapter 301 Summer Fly-In Breakfast       | https://www.eaa.org/eaa/chapters                             | NONE
EAA Chapter 105 Pancake Breakfast & Young Ea… | https://www.eaa.org/eaa/chapters                             | NONE
